,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
57,meringue,"MannwhitneyuResult(statistic=105.0, pvalue=0.17388279208065577)","MannwhitneyuResult(statistic=76.5, pvalue=0.12387129768145005)","MannwhitneyuResult(statistic=94.5, pvalue=0.15447585340880865)","MannwhitneyuResult(statistic=117.0, pvalue=0.19810314294775322)","MannwhitneyuResult(statistic=126.5, pvalue=0.21817226660214661)","MannwhitneyuResult(statistic=133.5, pvalue=0.23400009284577661)"
58,jackfruit,"MannwhitneyuResult(statistic=197.0, pvalue=0.40211414820821867)","MannwhitneyuResult(statistic=110.5, pvalue=0.18409938436902679)","MannwhitneyuResult(statistic=165.5, pvalue=0.31408233799270879)","MannwhitneyuResult(statistic=190.5, pvalue=0.38339703248152046)","MannwhitneyuResult(statistic=126.0, pvalue=0.21706575544792434)","MannwhitneyuResult(statistic=119.0, pvalue=0.20191925298264679)"
59,e cardamom,"MannwhitneyuResult(statistic=212.0, pvalue=0.44622413706817127)","MannwhitneyuResult(statistic=153.5, pvalue=0.28228652515609587)","MannwhitneyuResult(statistic=189.0, pvalue=0.3790956231358627)","MannwhitneyuResult(statistic=190.5, pvalue=0.38339703248152046)","MannwhitneyuResult(statistic=171.0, pvalue=0.32862417541443972)","MannwhitneyuResult(statistic=164.0, pvalue=0.30982035666225127)"
60,pecan,"MannwhitneyuResult(statistic=73.5, pvalue=0.11988877763256206)","MannwhitneyuResult(statistic=58.5, pvalue=0.098284376784721517)","MannwhitneyuResult(statistic=70.5, pvalue=0.11553013753079105)","MannwhitneyuResult(statistic=109.0, pvalue=0.18181463503259376)","MannwhitneyuResult(statistic=181.5, pvalue=0.35764957283046617)","MannwhitneyuResult(statistic=188.5, pvalue=0.37748059399463291)"
61,capella ca,"MannwhitneyuResult(statistic=29.0, pvalue=0.065542522338635056)","MannwhitneyuResult(statistic=189.5, pvalue=0.38019577167925478)","MannwhitneyuResult(statistic=92.5, pvalue=0.15093028905534833)","MannwhitneyuResult(statistic=78.0, pvalue=0.12688892242314281)","MannwhitneyuResult(statistic=15.5, pvalue=0.053351561250241736)","MannwhitneyuResult(statistic=22.5, pvalue=0.059315500517227393)"
62,strawberry d,"MannwhitneyuResult(statistic=72.0, pvalue=0.11765124125450099)","MannwhitneyuResult(statistic=170.5, pvalue=0.32706437225733653)","MannwhitneyuResult(statistic=92.5, pvalue=0.1509326784244916)","MannwhitneyuResult(statistic=48.0, pvalue=0.085897162522610038)","MannwhitneyuResult(statistic=93.5, pvalue=0.15231379384650673)","MannwhitneyuResult(statistic=86.5, pvalue=0.14024832109764979)"
63,e lemonade,"MannwhitneyuResult(statistic=181.0, pvalue=0.35641358751199681)","MannwhitneyuResult(statistic=151.0, pvalue=0.27596586541603818)","MannwhitneyuResult(statistic=170.5, pvalue=0.32752216351223151)","MannwhitneyuResult(statistic=117.0, pvalue=0.19810314294775322)","MannwhitneyuResult(statistic=123.5, pvalue=0.21158243855522718)","MannwhitneyuResult(statistic=130.5, pvalue=0.22714006918373308)"
64,bubble,"MannwhitneyuResult(statistic=84.5, pvalue=0.13721509622764666)","MannwhitneyuResult(statistic=50.5, pvalue=0.088247025408076996)","MannwhitneyuResult(statistic=67.5, pvalue=0.11120247507627506)","MannwhitneyuResult(statistic=13.5, pvalue=0.05202932998165765)","MannwhitneyuResult(statistic=93.5, pvalue=0.15231379384650673)","MannwhitneyuResult(statistic=100.5, pvalue=0.16504909501323817)"
65,tfa blueberry extra,"MannwhitneyuResult(statistic=177.5, pvalue=0.34665910617741524)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=121.0, pvalue=0.20654795332543918)","MannwhitneyuResult(statistic=190.5, pvalue=0.38339703248152046)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
66,french vanilla,"MannwhitneyuResult(statistic=98.5, pvalue=0.16163590758204927)","MannwhitneyuResult(statistic=103.0, pvalue=0.16945888935745029)","MannwhitneyuResult(statistic=100.5, pvalue=0.16543272312841661)","MannwhitneyuResult(statistic=73.0, pvalue=0.11924682190914576)","MannwhitneyuResult(statistic=192.5, pvalue=0.38896330450124578)","MannwhitneyuResult(statistic=185.5, pvalue=0.36893846696231725)"
