,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
23,zebra,"RanksumsResult(statistic=1.1910225548424436, pvalue=0.23364473056922463)","RanksumsResult(statistic=-1.4577815497756093, pvalue=0.14490076539789315)","RanksumsResult(statistic=-1.2060512306133262, pvalue=0.22779773759521793)","RanksumsResult(statistic=1.6719401795106859, pvalue=0.094536118714842812)","RanksumsResult(statistic=1.491596070260095, pvalue=0.13580506902673153)","RanksumsResult(statistic=-1.4389957050620061, pvalue=0.1501517396298106)"
24,zombie killer,"RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=-0.48843196255368349, pvalue=0.62524390684807385)","RanksumsResult(statistic=-0.20664429184963534, pvalue=0.83628766686185019)","RanksumsResult(statistic=1.3300378057231075, pvalue=0.18350581540559008)","RanksumsResult(statistic=1.3751238330357551, pvalue=0.16909305669221186)","RanksumsResult(statistic=-1.3225234678376661, pvalue=0.18599390001912186)"
25,tropical punch,"RanksumsResult(statistic=0.52600365198088994, pvalue=0.59888566957522027)","RanksumsResult(statistic=-0.37947406321478488, pvalue=0.70433586110511537)","RanksumsResult(statistic=-0.0075143378854412848, pvalue=0.99400448223969551)","RanksumsResult(statistic=1.2361085821550915, pvalue=0.21641820522330935)","RanksumsResult(statistic=1.3751238330357551, pvalue=0.16909305669221186)","RanksumsResult(statistic=-1.3225234678376661, pvalue=0.18599390001912186)"
26,strawberrybanana,"RanksumsResult(statistic=0.84536301211214449, pvalue=0.39790818932615968)","RanksumsResult(statistic=0.83784867422670328, pvalue=0.4021156978671776)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=0.27051616387588623, pvalue=0.78676318335056483)","RanksumsResult(statistic=-0.11647223722433991, pvalue=0.90727828781016617)","RanksumsResult(statistic=0.16907260242242891, pvalue=0.86573953476468157)"
27,mola,"RanksumsResult(statistic=0.52600365198088994, pvalue=0.59888566957522027)","RanksumsResult(statistic=-0.086414885682574771, pvalue=0.93113661413138293)","RanksumsResult(statistic=0.2479731502195624, pvalue=0.80415518112267348)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=1.1459365275297959, pvalue=0.25182141590501905)","RanksumsResult(statistic=-1.0933361623317068, pvalue=0.27424623093534461)"
28,venom,"RanksumsResult(statistic=-0.89420620836751286, pvalue=0.37121157111537384)","RanksumsResult(statistic=-0.94680657356560183, pvalue=0.34373735150021079)","RanksumsResult(statistic=-0.89420620836751286, pvalue=0.37121157111537384)","RanksumsResult(statistic=-0.95056374250832254, pvalue=0.34182588154325177)","RanksumsResult(statistic=0.13150091299522249, pvalue=0.89537906438104675)","RanksumsResult(statistic=-0.078900547797133486, pvalue=0.93711172752254335)"
29,peanut butter jelly,"RanksumsResult(statistic=0.075143378854412843, pvalue=0.94010063403101307)","RanksumsResult(statistic=-0.567332510350817, pvalue=0.57048829326495698)","RanksumsResult(statistic=-0.30057351541765137, pvalue=0.7637397296931896)","RanksumsResult(statistic=1.3300378057231075, pvalue=0.18350581540559008)","RanksumsResult(statistic=1.3225234678376661, pvalue=0.18599390001912186)","RanksumsResult(statistic=-1.2699231026395772, pvalue=0.20411202291738517)"
30,cantaloupe,"RanksumsResult(statistic=-0.22167296762051791, pvalue=0.82456847529377131)","RanksumsResult(statistic=-0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.40953141475655003, pvalue=0.68214971750271403)","RanksumsResult(statistic=1.1947797237851643, pvalue=0.23217310434381333)","RanksumsResult(statistic=1.0820646555035449, pvalue=0.27922379958310029)","RanksumsResult(statistic=-1.0294642903054561, pvalue=0.30326155183502146)"
31,caramel mocha,"RanksumsResult(statistic=1.4502672118901681, pvalue=0.14698401864359506)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=0.75519095748684917, pvalue=0.45013441349304983)","RanksumsResult(statistic=1.1534508654152371, pvalue=0.24872537390917693)","RanksumsResult(statistic=1.6118254764271556, pvalue=0.10699992266660029)","RanksumsResult(statistic=-1.5592251112290665, pvalue=0.11894310941680074)"
32,rice krispy treat,"RanksumsResult(statistic=-0.018785844713603211, pvalue=0.98501194611381815)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=0.15028675770882569, pvalue=0.88053838015002961)","RanksumsResult(statistic=-0.47716045572552157, pvalue=0.63324786765132846)","RanksumsResult(statistic=-0.54103232775177246, pvalue=0.58848530057181614)","RanksumsResult(statistic=0.59363269294986154, pvalue=0.55275780967819033)"
33,vanilla bean ice cream,"RanksumsResult(statistic=-1.3187662988949456, pvalue=0.18724725427745625)","RanksumsResult(statistic=-0.84160584316942388, pvalue=0.40000861750964434)","RanksumsResult(statistic=-1.2473800889832534, pvalue=0.21225816376431805)","RanksumsResult(statistic=-1.4690530566037712, pvalue=0.14181839900767118)","RanksumsResult(statistic=-0.98062109405008768, pvalue=0.32677962814848338)","RanksumsResult(statistic=1.0332214592481768, pvalue=0.3015002726492293)"
34,custard cream,"RanksumsResult(statistic=-0.018785844713603211, pvalue=0.98501194611381815)","RanksumsResult(statistic=0.83784867422670328, pvalue=0.4021156978671776)","RanksumsResult(statistic=0.2479731502195624, pvalue=0.80415518112267348)","RanksumsResult(statistic=-0.53351798986633125, pvalue=0.59367506127713721)","RanksumsResult(statistic=-0.88293470153935094, pvalue=0.37727155310662652)","RanksumsResult(statistic=0.93553506673743991, pvalue=0.34951262034291608)"
35,koolad,"RanksumsResult(statistic=1.649397165854362, pvalue=0.099066294977606953)","RanksumsResult(statistic=1.6794545173961271, pvalue=0.093063495938260465)","RanksumsResult(statistic=1.6569115037398032, pvalue=0.097537368239831473)","RanksumsResult(statistic=1.4239670292911235, pvalue=0.15445601655591734)","RanksumsResult(statistic=0.19161561607875277, pvalue=0.8480433093201869)","RanksumsResult(statistic=-0.13901525088066377, pvalue=0.88943809760578596)"
36,e vanilla b,"RanksumsResult(statistic=-0.22167296762051791, pvalue=0.82456847529377131)","RanksumsResult(statistic=-0.37947406321478488, pvalue=0.70433586110511537)","RanksumsResult(statistic=-0.27427333281860689, pvalue=0.78387457632922763)","RanksumsResult(statistic=0.27051616387588623, pvalue=0.78676318335056483)","RanksumsResult(statistic=0.39825990792838811, pvalue=0.69043861017550756)","RanksumsResult(statistic=-0.34565954273029909, pvalue=0.72959859232405799)"
37,huckleberry,"RanksumsResult(statistic=-0.093929223568016057, pvalue=0.92516537940628862)","RanksumsResult(statistic=-0.42080292158471194, pvalue=0.67389899808155218)","RanksumsResult(statistic=-0.25173031916228306, pvalue=0.80124952017754503)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=0.92802072885199871, pvalue=0.353396817169771)","RanksumsResult(statistic=-0.87542036365390963, pvalue=0.38134522370466994)"
38,koolada,"RanksumsResult(statistic=-1.0031641077064115, pvalue=0.31578168749920055)","RanksumsResult(statistic=-1.1008505002171483, pvalue=0.27096172857747802)","RanksumsResult(statistic=-1.0257071213627353, pvalue=0.30502965660565862)","RanksumsResult(statistic=-1.1158791759880309, pvalue=0.26447385660019163)","RanksumsResult(statistic=0.1239865751097812, pvalue=0.90132590455059614)","RanksumsResult(statistic=-0.0713862099116922, pvalue=0.94309038450474392)"
39,graham crust,"RanksumsResult(statistic=1.6043111385417144, pvalue=0.10864548710877342)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=1.6005539695989937, pvalue=0.10947574431212324)","RanksumsResult(statistic=0.79651981585677623, pvalue=0.42572996251300443)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
40,zen garden,"RanksumsResult(statistic=-0.60490419977802345, pvalue=0.54524265247860115)","RanksumsResult(statistic=-0.44710310418375643, pvalue=0.65480061783652144)","RanksumsResult(statistic=-0.55230383457993448, pvalue=0.5807402038511329)","RanksumsResult(statistic=-0.79276264691405551, pvalue=0.42791612303809079)","RanksumsResult(statistic=-0.11647223722433991, pvalue=0.90727828781016617)","RanksumsResult(statistic=0.16907260242242891, pvalue=0.86573953476468157)"
41,holiday spice,"RanksumsResult(statistic=1.4502672118901681, pvalue=0.14698401864359506)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=1.292466116295901, pvalue=0.19619577284593692)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=1.6118254764271556, pvalue=0.10699992266660029)","RanksumsResult(statistic=-1.5592251112290665, pvalue=0.11894310941680074)"
42,brandy,"RanksumsResult(statistic=0.52600365198088994, pvalue=0.59888566957522027)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=0.79651981585677623, pvalue=0.42572996251300443)","RanksumsResult(statistic=0.96183524933648445, pvalue=0.33613236842425787)","RanksumsResult(statistic=-0.90923488413839548, pvalue=0.36322615405474479)"
43,bubblegum,"RanksumsResult(statistic=-0.86790602576846843, pvalue=0.38544577994675422)","RanksumsResult(statistic=-1.0181927834772941, pvalue=0.30858634829744669)","RanksumsResult(statistic=-0.94304940462288123, pvalue=0.34565563325331528)","RanksumsResult(statistic=-0.53351798986633125, pvalue=0.59367506127713721)","RanksumsResult(statistic=0.37195972532934357, pvalue=0.709922835838247)","RanksumsResult(statistic=-0.3193593601312546, pvalue=0.74945402443626596)"
44,grape,"RanksumsResult(statistic=-1.070793148675383, pvalue=0.2842624482198477)","RanksumsResult(statistic=-1.2999804541813422, pvalue=0.19360766833517884)","RanksumsResult(statistic=-1.1609652033006785, pvalue=0.24565605052452089)","RanksumsResult(statistic=1.5103819149736983, pvalue=0.13094600059615855)","RanksumsResult(statistic=0.93553506673743991, pvalue=0.34951262034291608)","RanksumsResult(statistic=-0.88293470153935094, pvalue=0.37727155310662652)"
