,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
25,tropical punch,"MannwhitneyuResult(statistic=160.0, pvalue=0.30041384644432056)","MannwhitneyuResult(statistic=179.5, pvalue=0.35297484437464854)","MannwhitneyuResult(statistic=229.0, pvalue=0.49849887801655729)","MannwhitneyuResult(statistic=65.5, pvalue=0.10859992697135651)","MannwhitneyuResult(statistic=47.0, pvalue=0.084486631896534825)","MannwhitneyuResult(statistic=54.0, pvalue=0.092959082507130419)"
26,strawberrybanana,"MannwhitneyuResult(statistic=117.5, pvalue=0.19955807839255552)","MannwhitneyuResult(statistic=118.5, pvalue=0.20111962720176985)","MannwhitneyuResult(statistic=100.5, pvalue=0.16582384279077195)","MannwhitneyuResult(statistic=194.0, pvalue=0.39468901130707335)","MannwhitneyuResult(statistic=214.5, pvalue=0.45499303587117323)","MannwhitneyuResult(statistic=207.5, pvalue=0.43415102406832573)"
27,mola,"MannwhitneyuResult(statistic=160.0, pvalue=0.30041384644432056)","MannwhitneyuResult(statistic=218.5, pvalue=0.4669232380543194)","MannwhitneyuResult(statistic=197.0, pvalue=0.40339069479730316)","MannwhitneyuResult(statistic=100.5, pvalue=0.16585922598596342)","MannwhitneyuResult(statistic=77.5, pvalue=0.12597412901038368)","MannwhitneyuResult(statistic=84.5, pvalue=0.13722527151287373)"
28,venom,"MannwhitneyuResult(statistic=111.0, pvalue=0.18617374552166555)","MannwhitneyuResult(statistic=104.0, pvalue=0.17181277257569477)","MannwhitneyuResult(statistic=111.0, pvalue=0.18625732442139981)","MannwhitneyuResult(statistic=103.5, pvalue=0.17154479095067215)","MannwhitneyuResult(statistic=212.5, pvalue=0.44902318332525087)","MannwhitneyuResult(statistic=219.5, pvalue=0.46996001019197992)"
29,peanut butter jelly,"MannwhitneyuResult(statistic=220.0, pvalue=0.47149286319850153)","MannwhitneyuResult(statistic=154.5, pvalue=0.2857131332703966)","MannwhitneyuResult(statistic=190.0, pvalue=0.38313488266136886)","MannwhitneyuResult(statistic=53.0, pvalue=0.092078466705843298)","MannwhitneyuResult(statistic=54.0, pvalue=0.092959204508734017)","MannwhitneyuResult(statistic=61.0, pvalue=0.10204390208352482)"
30,cantaloupe,"MannwhitneyuResult(statistic=200.5, pvalue=0.41359130300186753)","MannwhitneyuResult(statistic=147.0, pvalue=0.26679093140353316)","MannwhitneyuResult(statistic=175.5, pvalue=0.34223259539854045)","MannwhitneyuResult(statistic=71.0, pvalue=0.11650867841584744)","MannwhitneyuResult(statistic=86.0, pvalue=0.13972252184899764)","MannwhitneyuResult(statistic=93.0, pvalue=0.15178507410829462)"
31,caramel mocha,"MannwhitneyuResult(statistic=37.0, pvalue=0.073640850302917435)","MannwhitneyuResult(statistic=223.5, pvalue=0.4819433929600756)","MannwhitneyuResult(statistic=129.5, pvalue=0.22585600852866217)","MannwhitneyuResult(statistic=76.5, pvalue=0.1248168915812824)","MannwhitneyuResult(statistic=15.5, pvalue=0.05337759147540428)","MannwhitneyuResult(statistic=22.5, pvalue=0.059357400633932723)"
32,rice krispy treat,"MannwhitneyuResult(statistic=227.5, pvalue=0.49399363434767657)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=210.0, pvalue=0.44166562513571878)","MannwhitneyuResult(statistic=166.5, pvalue=0.31773594365216895)","MannwhitneyuResult(statistic=158.0, pvalue=0.29497851649090134)","MannwhitneyuResult(statistic=151.0, pvalue=0.27703995731742015)"
33,vanilla bean ice cream,"MannwhitneyuResult(statistic=54.5, pvalue=0.09384815259283924)","MannwhitneyuResult(statistic=118.0, pvalue=0.2000670839557232)","MannwhitneyuResult(statistic=64.0, pvalue=0.10647916709852767)","MannwhitneyuResult(statistic=34.5, pvalue=0.071152146996815727)","MannwhitneyuResult(statistic=99.5, pvalue=0.16358871742278835)","MannwhitneyuResult(statistic=92.5, pvalue=0.15090158156951605)"
34,custard cream,"MannwhitneyuResult(statistic=227.5, pvalue=0.49399363434767657)","MannwhitneyuResult(statistic=118.5, pvalue=0.20111962720176985)","MannwhitneyuResult(statistic=197.0, pvalue=0.40339069479730316)","MannwhitneyuResult(statistic=159.0, pvalue=0.29789194487951248)","MannwhitneyuResult(statistic=112.5, pvalue=0.18893338394711312)","MannwhitneyuResult(statistic=105.5, pvalue=0.17499906053330178)"
