,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
5,menthol,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=5.5, pvalue=0.045948308097493631)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
415,apricot,0,0,0,0,0,0
226,turkish,0,0,0,0,0,0
84,cherry blossom,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=79.0, pvalue=0.1283563323568998)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=86.5, pvalue=0.14013293113489994)","MannwhitneyuResult(statistic=84.5, pvalue=0.13680903268918904)"
239,caramel v,0,0,0,0,0,0
446,custard,0,0,0,0,0,0
337,cookie,0,0,0,0,0,0
189,chocolate g,0,0,0,0,0,0
358,banana foster,0,0,0,0,0,0
370,banana fo,0,0,0,0,0,0
85,strawberry kiwi,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=79.0, pvalue=0.1283563323568998)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=86.5, pvalue=0.14013293113489994)","MannwhitneyuResult(statistic=85.5, pvalue=0.13846442253830826)"
208,blue raspberry,0,0,0,0,0,0
156,raspberry,"MannwhitneyuResult(statistic=167.0, pvalue=0.31799856575474872)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=156.5, pvalue=0.2901223268250801)"
245,creme de menthe,0,0,0,0,0,0
221,biscotti,0,0,0,0,0,0
76,after dark,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=79.0, pvalue=0.1283563323568998)","MannwhitneyuResult(statistic=79.0, pvalue=0.12846789928411367)","MannwhitneyuResult(statistic=75.5, pvalue=0.12251898747738743)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
66,french vanilla,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=79.0, pvalue=0.1283563323568998)","MannwhitneyuResult(statistic=69.0, pvalue=0.11338130385285478)","MannwhitneyuResult(statistic=65.0, pvalue=0.10721165319120812)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
452,guava,0,0,0,0,0,0
410,lemon,0,0,0,0,0,0
53,vanilla custard v,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=57.5, pvalue=0.097646563259172203)","MannwhitneyuResult(statistic=54.0, pvalue=0.092708994393880639)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
154,rice krispy,"MannwhitneyuResult(statistic=167.0, pvalue=0.31799856575474872)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=154.5, pvalue=0.28499176448932351)"
416,strawberry milk,0,0,0,0,0,0
272,vanilla c,0,0,0,0,0,0
157,vanilla custard,"MannwhitneyuResult(statistic=167.0, pvalue=0.31799856575474872)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=157.5, pvalue=0.29270373682564022)"
352,tobacco,0,0,0,0,0,0
427,e custard,0,0,0,0,0,0
429,cherry,0,0,0,0,0,0
55,apple pie,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=57.5, pvalue=0.097646563259172203)","MannwhitneyuResult(statistic=55.5, pvalue=0.09459656333724642)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
428,lemonade,0,0,0,0,0,0
237,coffee,0,0,0,0,0,0
369,acetyl pyrazine,0,0,0,0,0,0
0,cap vanilla custard v,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=0.5, pvalue=0.042371506855038946)","MannwhitneyuResult(statistic=0.5, pvalue=0.042442882364778653)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
177,peanut butter chocolate,0,0,0,0,0,0
454,horchata cap,0,0,0,0,0,0
444,la caramel,0,0,0,0,0,0
120,salted caramel,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=121.0, pvalue=0.20658019602795691)","MannwhitneyuResult(statistic=120.5, pvalue=0.20499877236568009)","MannwhitneyuResult(statistic=120.5, pvalue=0.20499877236568009)"
331,c custard,0,0,0,0,0,0
365,dunhill,0,0,0,0,0,0
385,strawberry cheese cake,0,0,0,0,0,0
203,sweetener sucralose,0,0,0,0,0,0
102,freckled lemonade,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=105.0, pvalue=0.17347458872484134)","MannwhitneyuResult(statistic=101.5, pvalue=0.16680762231006441)"
254,vanilla bean ice cream t,0,0,0,0,0,0
26,strawberrybanana,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=27.0, pvalue=0.063746671374332847)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
